ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
235;Young Girls;Bruno Mars;pop;2014;126;75;56;50;229;3;67
236;Wiggle (feat. Snoop Dogg);Jason Derulo;pop;2014;82;62;70;72;193;25;67
237;Love Runs Out;OneRepublic;pop;2014;120;93;72;74;225;6;66
238;This Is How We Do;Katy Perry;pop;2014;96;64;69;80;204;5;66
239;Mmm Yeah (feat. Pitbull);Austin Mahone;pop;2014;126;92;71;98;232;4;65
240;A Little Party Never Killed Nobody (All We Got);Fergie;pop;2014;130;62;76;52;241;18;65
241;#SELFIE;The Chainsmokers;pop;2014;128;92;79;66;184;25;65
242;Partition;Beyonce;pop;2014;186;44;41;17;319;29;65
243;Birthday;Katy Perry;pop;2014;126;67;72;84;215;7;65
244;G.U.Y.;Lady Gaga;pop;2014;110;92;62;57;233;4;65
245;Stay The Night - Featuring Hayley Williams Of Paramore;Zedd;no pop;2014;128;74;60;46;217;4;64
246;"Let It Go - From ""Frozen / Single Version";Demi Lovato;pop;2014;140;66;50;25;226;4;63
247;Wings;Birdy;no pop;2014;83;71;47;22;252;3;62
248;Can't Remember to Forget You (feat. Rihanna);Shakira;pop;2014;138;81;69;82;207;7;62
249;Shot Me Down (feat. Skylar Grey) - Radio Edit;David Guetta;pop;2014;192;77;35;4;191;5;61
250;Say Something;A Great Big World;no pop;2014;138;15;45;9;229;3;61
251;A Sky Full of Stars;Coldplay;no pop;2014;125;68;55;16;268;3;60
252;Come Get It Bae;Pharrell Williams;pop;2014;120;80;93;90;202;8;59
253;Chandelier;Sia;no pop;2014;174;78;29;62;216;7;56
254;XO;Beyonce;pop;2014;170;79;47;21;216;26;56
255;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song];Pitbull;pop;2014;125;94;60;55;222;7;56
256;Not About Angels;Birdy;no pop;2014;116;14;41;23;190;4;56
257;Drunk in Love;Beyonce;pop;2014;140;62;59;40;323;5;52
258;Anaconda;Nicki Minaj;pop;2014;130;60;96;65;260;18;50
259;Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter;Charli XCX;pop;2014;92;81;68;64;169;6;50
260;La La La (Brasil 2014) (feat. Carlinhos Brown);Shakira;pop;2014;128;82;80;61;198;4;50
261;Tee Shirt - Soundtrack Version;Birdy;no pop;2014;76;34;68;56;160;3;49
262;Words as Weapons;Birdy;no pop;2014;120;35;53;19;239;3;44
263;You're Mine (Eternal);Mariah Carey;pop;2014;149;58;63;56;224;7;38
264;Sheezus;Lily Allen;pop;2014;130;50;78;39;235;4;37
265;Cannonball;Lea Michele;no pop;2014;92;82;56;57;215;5;37
266;It's On Again - Main Soundtrack;Alicia Keys;no pop;2014;110;54;64;53;230;11;30
267;I Luh Ya Papi;Jennifer Lopez;pop;2014;96;73;74;59;207;42;28
268;Not a Bad Thing;Justin Timberlake;pop;2014;86;73;59;46;266;6;0
269;Thinking out Loud;Ed Sheeran;pop;2015;79;45;78;59;282;3;84
270;I'm Not The Only One;Sam Smith;pop;2015;82;49;68;49;239;4;84
271;The Hills;The Weeknd;no pop;2015;113;56;58;14;242;5;84
272;Love Yourself;Justin Bieber;pop;2015;100;38;61;52;234;44;83
273;Uptown Funk;Mark Ronson;pop;2015;115;61;86;93;270;8;82
274;Take Me To Church;Hozier;no pop;2015;129;66;57;44;242;5;81
275;Sugar;Maroon 5;pop;2015;120;79;75;88;235;3;81
276;Sorry;Justin Bieber;pop;2015;100;76;65;41;201;5;81
277;FourFiveSeconds;Rihanna;pop;2015;206;27;58;35;188;5;80
278;"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;pop;2015;190;61;26;28;253;5;79
279;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;no pop;2015;120;38;66;44;252;3;79
280;What Do You Mean?;Justin Bieber;pop;2015;125;57;85;79;206;10;79
281;Stitches;Shawn Mendes;pop;2015;150;75;75;76;207;7;78
282;Want to Want Me;Jason Derulo;pop;2015;114;68;78;66;208;6;77
283;My House;Flo Rida;pop;2015;94;70;69;74;192;5;77
284;Waves - Robin Schulz Radio Edit;Mr. Probz;no pop;2015;120;51;83;45;208;4;77
285;Night Changes;One Direction;no pop;2015;120;52;67;37;227;4;77
286;How Deep Is Your Love;Calvin Harris;pop;2015;122;87;74;34;213;7;77
287;Never Forget You;Zara Larsson;pop;2015;146;73;58;28;213;5;77
288;Love Me Harder;Ariana Grande;pop;2015;99;71;47;24;236;3;76
289;Animals;Maroon 5;pop;2015;190;74;28;33;231;9;76
290;Blame;Calvin Harris;pop;2015;128;86;41;35;213;8;76
291;Worth It;Fifth Harmony;pop;2015;100;77;88;59;225;9;75
292;Break Free;Ariana Grande;pop;2015;130;70;69;28;215;5;75
293;Don't;Ed Sheeran;pop;2015;95;61;81;85;220;7;74
294;Elastic Heart;Sia;no pop;2015;130;79;42;50;257;5;73
295;Rather Be (feat. Jess Glynne);Clean Bandit;pop;2015;121;59;80;55;228;4;73
296;Hello;Adele;no pop;2015;158;45;48;29;295;3;73
297;Dear Future Husband;Meghan Trainor;pop;2015;79;78;66;83;184;19;72
298;07-nov;Beyonce;pop;2015;136;71;75;56;214;13;72
299;The Heart Wants What It Wants;Selena Gomez;pop;2015;83;79;62;62;227;4;72
300;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;pop;2015;86;73;60;53;193;15;72
301;Genie In a Bottle;Christina Aguilera;pop;2015;176;80;63;91;218;16;72
302;Company;Justin Bieber;pop;2015;95;80;59;43;208;6;72
303;Sing;Ed Sheeran;pop;2015;120;67;82;94;235;5;71
304;Jealous - Remix;Nick Jonas;pop;2015;93;71;68;45;222;8;70
305;Really Don't Care;Demi Lovato;pop;2015;121;73;71;85;202;9;70
306;Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis;pop;2015;110;61;83;71;293;7;70
307;Only Love Can Hurt Like This;Paloma Faith;no pop;2015;91;89;57;31;233;8;69
308;Heartbeat Song;Kelly Clarkson;pop;2015;149;80;49;48;199;5;69
309;Up;Olly Murs;pop;2015;115;85;69;64;224;3;69
310;Trumpets;Jason Derulo;pop;2015;82;70;63;64;217;24;69
311;Runnin' (Lose It All);Naughty Boy;no pop;2015;139;85;32;8;213;8;69
312;Same Old Love;Selena Gomez;pop;2015;98;59;67;44;229;3;69
313;I Want You To Know;Zedd;no pop;2015;130;85;58;37;240;6;68
314;Lips Are Movin;Meghan Trainor;pop;2015;139;83;78;95;183;5;68
315;I'll Show You;Justin Bieber;pop;2015;192;61;36;8;200;10;68
316;Here;Alessia Cara;no pop;2015;120;82;38;33;199;10;68
317;I Lived;OneRepublic;pop;2015;120;85;59;34;235;4;67
318;Fireball (feat. John Ryan);Pitbull;pop;2015;123;94;69;79;235;6;67
319;Easy Love;Sigala;pop;2015;124;94;68;65;230;6;67
320;The Feeling;Justin Bieber;pop;2015;127;81;53;21;245;6;67
321;I Really Like You;Carly Rae Jepsen;pop;2015;122;81;62;60;205;4;66
322;BO$$;Fifth Harmony;pop;2015;103;87;81;74;171;11;66
323;Sugar;Maroon 5;pop;2015;120;79;75;88;235;3;66
324;Focus;Ariana Grande;pop;2015;100;88;67;79;211;24;66
325;All About That Bass;Meghan Trainor;pop;2015;134;88;81;96;189;5;65
326;On My Mind;Ellie Goulding;pop;2015;155;71;70;74;213;5;65
327;Love Me Like You;Little Mix;pop;2015;106;67;79;85;198;4;65
328;Broken Arrows;Avicii;no pop;2015;116;67;63;29;233;5;65
329;Booty;Jennifer Lopez;pop;2015;129;95;71;40;210;5;64
330;What Do You Mean? - Acoustic;Justin Bieber;pop;2015;125;36;77;76;204;4;64
331;Mark My Words;Justin Bieber;pop;2015;114;26;38;52;134;3;63
332;Lay It All on Me;Rudimental;pop;2015;123;75;67;48;242;4;62
333;American Oxygen;Rihanna;pop;2015;78;75;39;48;320;9;61
334;Bang Bang;Jessie J;pop;2015;150;75;71;73;199;9;61
335;Reality - Radio Edit;Lost Frequencies;no pop;2015;122;70;71;60;159;3;61
336;Alive;Sia;no pop;2015;100;76;51;44;264;5;61
337;Sugar (feat. Francesco Yates);Robin Schulz;pop;2015;123;82;64;64;219;6;60
338;Been You;Justin Bieber;pop;2015;113;78;74;86;199;7;60
339;Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;no pop;2015;123;89;76;78;189;3;58
340;See You Again (feat. Charlie Puth);Wiz Khalifa;no pop;2015;80;48;69;28;230;8;56
341;Heroes (we could be);Alesso;no pop;2015;126;75;52;35;210;6;56
342;"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;pop;2015;156;60;47;4;292;5;55
343;Perfect;One Direction;no pop;2015;100;82;65;40;230;8;55
344;Ghosttown;Madonna;pop;2015;79;55;54;9;250;4;54
345;Bang My Head (feat. Sia & Fetty Wap);David Guetta;pop;2015;108;87;60;59;193;8;54
346;Bloodstream;Ed Sheeran;pop;2015;89;59;48;27;309;5;52
347;Living For Love;Madonna;pop;2015;123;79;67;39;219;9;52
348;Baby Don't Lie;Gwen Stefani;pop;2015;100;55;69;26;203;3;52
